"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Camon";"camon-09";"09500";"43.021523452,1.96173407084";"Midi-Pyrénées";"France";"NULL"
"Campo Ligure";"campo ligure";"NULL";"44.536768138018,8.7009358406067";"Liguria";"Italia";"NULL"
"Campodimele";"campodimele";"NULL";"41.38724,13.53218";"Lazio";"Italia";"NULL"
"Canale di Tenno";"canale di tenno";"NULL";"45.92913,10.82454";"Trentino Alto Adige";"Italia";"NULL"
"Candelario";"candelario";"NULL";"40.368294,-5.744319";"NULL";"Espana";"NULL"
"Candes-Saint-Martin";"candes-saint-martin";"37500";"47.2026345011,0.0740845875144";"Centre";"France";"NULL"
"Cantavieja";"cantavieja";"NULL";"40.525361,-0.404861";"NULL";"Espana";"NULL"
"Canterano";"canterano";"NULL";"41.942418,13.037999";"Lazio";"Italia";"NULL"
"Capdenac";"capdenac";"46100";"44.5849536866,2.06705309524";"Midi-Pyrénées";"France";"NULL"
"Caprarola";"caprarola";"NULL";"42.327458,12.23721";"Lazio";"Italia";"NULL"
"Caramanico Terme";"caramanico terme";"NULL";"42.162513,14.008584";"Abruzzo";"Italia";"NULL"
"Cardaillac";"cardaillac";"46100";"44.6824882751,2.0138257443";"Midi-Pyrénées";"France";"NULL"
"Carennac";"carennac";"46110";"44.9054973553,1.72378675129";"Midi-Pyrénées";"France";"NULL"
"Carloforte";"carloforte";"NULL";"39.145988,8.305553";"Sardegna";"Italia";"NULL"
"Cassinetta di Lugagnano";"cassinetta di lugagnano";"NULL";"45.426648,8.909712";"Lombardia";"Italia";"NULL"
"Castel del Monte";"castel del monte";"NULL";"42.36452,13.72579";"Abruzzo";"Italia";"NULL"
"Castel di Tora";"castel di tora";"NULL";"42.21583,12.96376";"Lazio";"Italia";"NULL"
"Castel Gandolfo";"castel gandolfo";"NULL";"41.74997,12.64851";"Lazio";"Italia";"NULL"
"Castelfranco Piandiscò borgo di Castelfranco";"castelfranco piandiscò borgo di castelfranco";"NULL";"43.62121,11.55704";"Toscana";"Italia";"NULL"
"Castellabate";"castellabate";"NULL";"40.28313,14.95886";"Campania";"Italia";"NULL"
"Castellaro Lagusello";"castellaro lagusello";"NULL";"45.37511,10.63822";"Lombardia";"Italia";"NULL"
"Castelli";"castelli";"NULL";"42.48887,13.71153";"Abruzzo";"Italia";"NULL"
"Castell’Arquato";"castell’arquato";"NULL";"44.85337,9.8707";"Emilia Romagna";"Italia";"NULL"
"Castelmezzano";"castelmezzano";"NULL";"40.5292,16.04505";"Basilicata";"Italia";"NULL"
"Castelmola";"castelmola";"NULL";"37.8591,15.27794";"Sicilia";"Italia";"NULL"
"Castelnau-de-Montmiral";"castelnau-de-montmiral";"81140";"43.9867805665,1.78310029174";"Midi-Pyrénées";"France";"NULL"
"Castelnaud-la-Chapelle";"castelnaud-la-chapelle";"24250";"44.8017266303,1.13058711758";"Aquitaine";"France";"NULL"
"Castelnou";"castelnou";"66300";"42.6193831125,2.70904889838";"Languedoc-Roussillon";"France";"NULL"
"Castelponzone";"castelponzone";"NULL";"45.06364,10.31388";"Lombardia";"Italia";"NULL"
"Castelsardo";"castelsardo";"NULL";"40.91283,8.71315";"Sardegna";"Italia";"NULL"
"Castelvecchio";"castelvecchio";"NULL";"44.13064,8.11656";"Liguria";"Italia";"NULL"
"Castiglione del Lago";"castiglione del lago";"NULL";"43.12798,12.04674";"Umbria";"Italia";"NULL"
"Castiglione di Garfagnana";"castiglione di garfagnana";"NULL";"44.152128,10.411856";"Toscana";"Italia";"NULL"
"Castiglione di Sicilia";"castiglione di sicilia";"NULL";"37.891654,15.119247";"Sicilia";"Italia";"NULL"
"Castroreale";"castroreale";"NULL";"38.100569,15.212202";"Sicilia";"Italia";"NULL"
"Cefalù";"cefalù";"NULL";"38.03952,14.02193";"Sicilia";"Italia";"NULL"
"Celles";"celles";"NULL";"50.2298284,5.01543";"";"Belgique";"NULL"
"Cervo";"cervo";"NULL";"43.92725,8.11522";"Liguria";"Italia";"NULL"
"Cetona";"cetona";"NULL";"42.96522,11.90045";"Toscana";"Italia";"NULL"
"Chardeneux";"chardeneux";"NULL";"50.37182,5.35951";"";"Belgique";"NULL"
"Charroux";"charroux-03";"03140";"46.1823286094,3.16415034202";"Auvergne";"France";"NULL"
"Château-Chalon";"chateau-chalon";"39210";"46.7594016188,5.64816991256";"Franche Comté";"France";"NULL"
"Châteauneuf";"chateauneuf-21";"21320";"47.2193918621,4.65146586699";"Bourgogne";"France";"NULL"
"Chianale";"chianale";"NULL";"44.621693,7.032402";"Piemonte";"Italia";"NULL"
"Chianalea di Scilla";"chianalea di scilla";"NULL";"38.2535,15.715";"Calabria";"Italia";"NULL"
"Chiusa";"chiusa";"NULL";"46.63967,11.56491";"Trentino Alto Adige";"Italia";"NULL"
"Chizu";"chizu";"NULL";"35.265075,134.226638";"Ch?goku";"Japan";"2010"
"Cingoli";"cingoli";"NULL";"43.375927470487,13.203206062317";"Marche";"Italia";"NULL"
"Cison di Valmarino";"cison di valmarino";"NULL";"45.990283,12.14653";"Veneto";"Italia";"NULL"
"Cisternino";"cisternino";"NULL";"40.74307,17.42536";"Puglia";"Italia";"NULL"
"Citerna";"citerna";"NULL";"43.498386562319,12.115623950958";"Umbria";"Italia";"NULL"
"Città Sant´Angelo";"città sant´angelo";"NULL";"42.5192407,14.0601666";"Abruzzo";"Italia";"NULL"
"Civita";"civita";"NULL";"39.840177,16.313095";"Calabria";"Italia";"NULL"
"Civita di Bagnoregio";"civita di bagnoregio";"NULL";"42.62708,12.09062";"Lazio";"Italia";"NULL"
"Civitella del Tronto";"civitella del tronto";"NULL";"42.772329482072,13.667507171631";"Abruzzo";"Italia";"NULL"
"Clermont-sur-Berwinne";"clermont-sur-berwinne";"NULL";"50.666236,5.8817619";"";"Belgique";"NULL"
"Coaraze";"coaraze";"06390";"43.8664901786,7.29913349222";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Collalto Sabino";"collalto sabino";"NULL";"42.13698,13.04848";"Lazio";"Italia";"NULL"
"Colletta di Castelbianco";"colletta di castelbianco";"NULL";"44.113156631527,8.0748331546783";"Liguria";"Italia";"NULL"
"Collonges-la-Rouge";"collonges-la-rouge";"19500";"45.0661814484,1.65335823441";"Limousin";"France";"NULL"
"Compiano";"compiano";"NULL";"44.49814,9.66343";"Emilia Romagna";"Italia";"NULL"
"Comprégnac";"compregnac";"12100";"44.0964783684,2.97961913091";"Midi-Pyrénées";"France";"NULL"
"Conca dei Marini borgo di Marina di Conca";"conca dei marini borgo di marina di conca";"NULL";"40.616656,14.574344";"Campania";"Italia";"NULL"
"Conques";"conques";"12320";"44.5952473002,2.4201643341";"Midi-Pyrénées";"France";"NULL"
"Corciano";"corciano";"NULL";"43.12816,12.28616";"Umbria";"Italia";"NULL"
"Cordovado";"cordovado";"NULL";"45.84322,12.88535";"Friuli Venezia Giulia";"Italia";"NULL"
"Coreglia Antelminelli";"coreglia antelminelli";"NULL";"44.06493,10.52668";"Toscana";"Italia";"NULL"
"Corinaldo";"corinaldo";"NULL";"43.64982,13.04836";"Marche";"Italia";"NULL"
"Cornello dei Tasso";"cornello dei tasso";"NULL";"45.902134,9.653739";"Lombardia";"Italia";"NULL"
"Crissay-sur-Manse";"crissay-sur-manse";"37220";"47.1665198004,0.494306101792";"Centre";"France";"NULL"
"Crupet";"crupet";"NULL";"50.3507246,4.9685315";"";"Belgique";"NULL"
"Curemonte";"curemonte";"19500";"45.0035299076,1.75465208697";"Limousin";"France";"NULL"
"Curtatone Borgo di Grazie";"curtatone borgo di grazie";"NULL";"45.153504,10.694770";"Lombardia";"Italia";"NULL"
"Deruta";"deruta";"NULL";"42.9814074,12.4161111";"Umbria";"Italia";"NULL"
"Domme";"domme";"24250";"44.8035117633,1.24433028521";"Aquitaine";"France";"NULL"
"Dōshi";"doshi";"NULL";"35.533333,139.033333";"Ch?bu";"Japan";"2012"
"Dozza";"dozza";"NULL";"44.35937,11.62888";"Emilia Romagna";"Italia";"NULL"
"Egna";"egna";"NULL";"46.311911,11.272688";"Trentino Alto Adige";"Italia";"NULL"
"Eguisheim";"eguisheim";"68420";"48.0371183049,7.30052876111";"Alsace";"France";"NULL"
"ElCastelldeGuadalest";"elcastelldeguadalest";"NULL";"38.676964,-0.198324";"NULL";"Espana";"NULL"
"Erice Ospite Onorario 2014/2015";"erice ospite onorario 2014/2015";"NULL";"38.038468,12.586048";"Sicilia";"Italia";"NULL"
"Estaing";"estaing-12";"12190";"44.5694224223,2.68750805663";"Midi-Pyrénées";"France";"NULL"
"Etroubles";"etroubles";"NULL";"45.821574,7.2304814";"Valle d´Aosta";"Italia";"NULL"
"Eus";"eus";"66500";"42.657654474,2.44661138862";"Languedoc-Roussillon";"France";"NULL"
"Fagagna";"fagagna";"NULL";"46.11381,13.09208";"Friuli Venezia Giulia";"Italia";"NULL"
"Fagnolle";"fagnolle";"NULL";"50.10493,4.56083";"";"Belgique";"NULL"
"Falaën";"falaen";"NULL";"50.2855873,4.7957727";"";"Belgique";"NULL"
"Ferla";"ferla";"NULL";"37.118555,14.940934";"Sicilia";"Italia";"NULL"
"Finalborgo";"finalborgo";"NULL";"44.17702,8.32501";"Liguria";"Italia";"NULL"
"Fiumalbo";"fiumalbo";"NULL";"44.179988,10.647504";"Emilia Romagna";"Italia";"NULL"
"Fiumefreddo Bruzio";"fiumefreddo bruzio";"NULL";"39.235,16.06906";"Calabria";"Italia";"NULL"
"Flavigny-sur-Ozerain";"flavigny-sur-ozerain";"21150";"47.5087961778,4.51921128225";"Bourgogne";"France";"NULL"
"Fontanellato";"fontanellato";"NULL";"44.881843,10.168723";"Emilia Romagna";"Italia";"NULL"
"Fornelli";"fornelli";"NULL";"41.606683,14.139783";"Molise";"Italia";"NULL"
"Fortunago";"fortunago";"NULL";"44.9224,9.18471";"Lombardia";"Italia";"NULL"
"Fourcès";"fources";"32250";"43.9951905461,0.228969106645";"Midi-Pyrénées";"France";"NULL"
"Framura";"framura";"NULL";"44.208958,9.554329";"Liguria";"Italia";"NULL"
"Frías";"frias";"NULL";"42.762311,-3.294207";"NULL";"Espana";"NULL"
"Frigiliana";"frigiliana";"NULL";"36.790875,-3.894706";"NULL";"Espana";"NULL"
"Frontino";"frontino";"NULL";"43.764642,12.378031";"Marche";"Italia";"NULL"
"Frosolone";"frosolone";"NULL";"41.599494,14.448173";"Molise";"Italia";"NULL"
"Furore";"furore";"NULL";"40.61885,14.55254";"Campania";"Italia";"NULL"
"Gangi";"gangi";"NULL";"37.795065,14.2045713";"Sicilia";"Italia";"NULL"
"Garbagna";"garbagna";"NULL";"44.782710,8.998894";"Piemonte";"Italia";"NULL"
"Garessio";"garessio";"NULL";"44.204842872444,8.0148160457611";"Piemonte";"Italia";"NULL"
"Gargilesse-Dampierre";"gargilesse-dampierre";"36190";"46.5053300669,1.62060670843";"Centre";"France";"NULL"
"Gassin";"gassin";"83580";"43.2392065224,6.58617518642";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Gerace";"gerace";"NULL";"38.27131,16.21976";"Calabria";"Italia";"NULL"
"Geraci Siculo";"geraci siculo";"NULL";"37.85732,14.1542";"Sicilia";"Italia";"NULL"
"Gerberoy";"gerberoy";"60380";"49.5385653619,1.84224948917";"Picardie";"France";"NULL"
"Giglio Castello";"giglio castello";"NULL";"42.36705,10.9";"Toscana";"Italia";"NULL"
"Giove";"giove";"NULL";"42.510687821379,12.33161687851";"Umbria";"Italia";"NULL"
"Glorenza";"glorenza";"NULL";"46.67095,10.55489";"Trentino Alto Adige";"Italia";"NULL"
"Gordes";"gordes";"84220";"43.909019241,5.19801978618";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Gourdon";"gourdon-06";"06620";"43.7242493778,6.96356065093";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Gradara";"gradara";"NULL";"43.93891,12.77125";"Marche";"Italia";"NULL"
"Gradella";"gradella";"NULL";"45.42472,9.53107";"Lombardia";"Italia";"NULL"
"Gradisca d´Isonzo";"gradisca d´isonzo";"NULL";"45.89174,13.4913";"Friuli Venezia Giulia";"Italia";"NULL"
"Gromo";"gromo";"NULL";"45.9650185,9.9281296";"Lombardia";"Italia";"NULL"
"Gros-Fays";"gros-fays";"NULL";"49.8704212,4.9831444";"";"Belgique";"NULL"
"Grottammare";"grottammare";"NULL";"42.990091109965,13.869777917862";"Marche";"Italia";"NULL"
"Gualtieri";"gualtieri";"NULL";"44.902092,10.631404";"Emilia Romagna";"Italia";"NULL"
"Guardia Perticara";"guardia perticara";"NULL";"40.358407764827,16.100023984909";"Basilicata";"Italia";"NULL"
"Hayakawa";"hayakawa";"NULL";"35.412778,138.363056";"Ch?bu";"Japan";"2009"
"Higashinaruse";"higashinaruse";"NULL";"39.3166,140.633";"T?hoku";"Japan";"2009"
"Higashishirakawa";"higashishirakawa";"NULL";"35.65,137.3166";"Ch?bu";"Japan";"2011"
"Hunawihr";"hunawihr";"68150";"48.1824285926,7.30403809307";"Alsace";"France";"NULL"
"Hunspach";"hunspach";"67250";"48.9578637227,7.93587412104";"Alsace";"France";"NULL"
"Iide";"iide";"NULL";"38.045833,139.9875";"T?hoku";"Japan";"2005"
"Iitate";"iitate";"NULL";"37.679167,140.735278";"T?hoku";"Japan";"2010"
"Ikeda";"ikeda";"NULL";"36.421389,137.874722";"Ch?bu";"Japan";"2009"
"Ine";"ine";"NULL";"35.39,135.17";"Kansai";"Japan";"2008"
"Introdacqua";"introdacqua";"NULL";"42.0085,13.89901";"Abruzzo";"Italia";"NULL"
"Kamijima";"kamijima";"NULL";"34.2575,133.204444";"Shikoku";"Japan";"2009"
"Kamikatsu";"kamikatsu";"NULL";"33.888889,134.401944";"Shikoku";"Japan";"2008"
"Kikai";"kikai";"NULL";"28.316944,129.94";"Ky?sh?";"Japan";"2009"
"Kiso";"kiso";"NULL";"35.8425,137.691667";"Ch?bu";"Japan";"2006"
"Kitashiobara";"kitashiobara";"NULL";"37.655833,139.937778";"T?hoku";"Japan";"2010"
"Kosaka";"kosaka";"NULL";"40.327778,140.746944";"T?hoku";"Japan";"2009"
"Kuma";"kuma";"NULL";"32.25,130.65";"Ky?sh?";"Japan";"2013"
"Kuromatsunai";"kuromatsunai";"NULL";"42.667806,140.307639";"Hokkaid?";"Japan";"2011"
"Kyōgoku";"kyogoku";"NULL";"42.85,150.8833";"Hokkaid?";"Japan";"2008"
"La Bastide-Clairence";"bastide-clairence";"64240";"43.417654264,-1.23211183617";"Aquitaine";"France";"NULL"
"La Couvertoirade";"couvertoirade";"12230";"43.9292282018,3.28890121279";"Midi-Pyrénées";"France";"NULL"
"La Flotte";"flotte";"17630";"46.1793660462,-1.32163012232";"Poitou-Charentes";"France";"NULL"
"La Garde-Adhémar";"garde-adhemar";"26700";"44.3910321281,4.74995521601";"Rhône-Alpes";"France";"NULL"
"La Grave";"grave-05";"05320";"45.0601102401,6.28406977587";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"La Roche-Guyon";"roche-guyon";"95780";"49.0874855412,1.63442620986";"Île-de-France";"France";"NULL"
"La Roque-Gageac";"roque-gageac";"24250";"44.8177613658,1.19861057115";"Aquitaine";"France";"NULL"
"La Roque-sur-Cèze";"roque-sur-ceze";"30200";"44.1901881744,4.51851871798";"Languedoc-Roussillon";"France";"NULL"
"LaAlberca";"laalberca";"NULL";"40.489267,-6.110723";"NULL";"Espana";"NULL"
"Laforêt";"laforet";"NULL";"49.8533323,4.9120261";"";"Belgique";"NULL"
"Lagrasse";"lagrasse";"11220";"43.0957230349,2.60436046295";"Languedoc-Roussillon";"France";"NULL"
"Laigueglia";"laigueglia";"NULL";"43.9798518,8.1584444";"Liguria";"Italia";"NULL"
"Larressingle";"larressingle";"32100";"43.9368488739,0.315969643669";"Midi-Pyrénées";"France";"NULL"
"Lautrec";"lautrec";"81440";"43.7052468491,2.12929403349";"Midi-Pyrénées";"France";"NULL"
"Lauzerte";"lauzerte";"82110";"44.2642995725,1.12713270139";"Midi-Pyrénées";"France";"NULL"
"Lavardens";"lavardens";"32360";"43.7654411264,0.519747830067";"Midi-Pyrénées";"France";"NULL"
"Lavardin";"lavardin-41";"41800";"47.7369568868,0.886026450993";"Centre";"France";"NULL"
"Lavaudieu";"lavaudieu";"43100";"45.2627483752,3.45499387355";"Auvergne";"France";"NULL"
"Le Bec-Hellouin";"bec-hellouin";"27800";"49.2249212859,0.726506401236";"Haute-Normandie";"France";"NULL"
"Le Faou";"faou";"29590";"48.3059334041,-4.1421494556";"Bretagne";"France";"NULL"
"Le Poët-Laval";"poet-laval";"26160";"44.5259749457,5.00162993339";"Rhône-Alpes";"France";"NULL"
"Limeuil";"limeuil";"24510";"44.8968110738,0.895947678696";"Aquitaine";"France";"NULL"
"Lingueglietta";"lingueglietta";"NULL";"43.8669678,7.9297293";"Liguria";"Italia";"NULL"
"Llastres";"llastres";"NULL";"43.513920,-5.270550";"NULL";"Espana";"NULL"
"Locorotondo";"locorotondo";"NULL";"40.75585,17.32629";"Puglia";"Italia";"NULL"
"Locronan";"locronan";"29180";"48.0978281716,-4.21322277368";"Bretagne";"France";"NULL"
"Lods";"lods";"25930";"47.0494709187,6.25575647951";"Franche Comté";"France";"NULL"
"Lompret";"lompret";"NULL";"50.0723775,4.3830032";"";"Belgique";"NULL"
"Loro Ciuffenna";"loro ciuffenna";"NULL";"43.5926435,11.6328913";"Toscana";"Italia";"NULL"
"Loubressac";"loubressac";"46130";"44.8660989972,1.79065883803";"Midi-Pyrénées";"France";"NULL"
"Lourmarin";"lourmarin";"84160";"43.7780333839,5.36616174066";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Lovere";"lovere";"NULL";"45.81045,10.06927";"Lombardia";"Italia";"NULL"
"LucainenadelasTorres";"lucainenadelastorres";"NULL";"37.040793,-2.201005";"NULL";"Espana";"NULL"
"Lugnano in Teverina";"lugnano in teverina";"NULL";"42.574012908489,12.330651283264";"Umbria";"Italia";"NULL"
"Lyons-la-Forêt";"lyons-la-foret";"27480";"49.3936970778,1.47355856778";"Haute-Normandie";"France";"NULL"
"Macerata Feltria";"macerata feltria";"NULL";"43.803294,12.440870";"Marche";"Italia";"NULL"
"Maderuelo";"maderuelo";"NULL";"41.483685,-3.524356";"NULL";"Espana";"NULL"
"Massa Martana";"massa martana";"NULL";"42.775164628485,12.524038553238";"Umbria";"Italia";"NULL"
"Matsuzaki";"matsuzaki";"NULL";"34.753056,138.778889";"Ch?bu";"Japan";"2013"
"Maze";"maze";"NULL";"35.8,137.25";"Ch?bu";"Japan";"2007"
"Medinaceli";"medinaceli";"NULL";"41.171721,-2.433843";"NULL";"Espana";"NULL"
"Mélin";"melin";"NULL";"50.74271,4.84285";"";"Belgique";"NULL"
"Ménerbes";"menerbes";"84560";"43.8243710342,5.22087170856";"Provence-Alpes-Côte d'Azur";"France";"NULL"
"Mezzano";"mezzano";"NULL";"46.15563,11.809074";"Trentino Alto Adige";"Italia";"NULL"
"Millesimo";"millesimo";"NULL";"44.36438,8.20597";"Liguria";"Italia";"NULL"
"Minamioguni";"minamioguni";"NULL";"33.083333,131.083333";"Ky?sh?";"Japan";"2005"
"Minerve";"minerve";"34210";"43.3629052396,2.72160547585";"Languedoc-Roussillon";"France";"NULL"
"Mirmande";"mirmande";"26270";"44.6886093237,4.844585911";"Rhône-Alpes";"France";"NULL"
"Mishima";"mishima";"NULL";"37.470278,139.644444";"T?hoku";"Japan";"2012"
"Mittelbergheim";"mittelbergheim";"67140";"48.3941967219,7.44334636249";"Alsace";"France";"NULL"
"Mogarraz";"mogarraz";"NULL";"40.492678,-6.051706";"NULL";"Espana";"NULL"
"Mojácar";"mojacar";"NULL";"37.140279,-1.850733";"NULL";"Espana";"NULL"
"Mombaldone";"mombaldone";"NULL";"44.57187,8.33653";"Piemonte";"Italia";"NULL"
"Moncontour";"moncontour-22";"22510";"48.3581980369,-2.63225581837";"Bretagne";"France";"NULL"
"Mondavio";"mondavio";"NULL";"43.675508,12.969782";"Marche";"Italia";"NULL"
"Mondolfo";"mondolfo";"NULL";"43.752497,13.093371";"Marche";"Italia";"NULL"
"Moneglia";"moneglia";"NULL";"44.228309,9.5292357";"Liguria";"Italia";"NULL"
"Monestiés";"monesties";"81640";"44.0787915889,2.09845237087";"Midi-Pyrénées";"France";"NULL"
"Monflanquin";"monflanquin";"47150";"44.5202002935,0.758095744834";"Aquitaine";"France";"NULL"
"Monpazier";"monpazier";"24540";"44.6807686841,0.894082333283";"Aquitaine";"France";"NULL"
"Montagnana";"montagnana";"NULL";"45.232395,11.467041";"Veneto";"Italia";"NULL"
"Montalbano Elicona";"montalbano elicona";"NULL";"38.0254,15.01722";"Sicilia";"Italia";"NULL"
